Name,Address,State,City,Phone,Email,PPN
Abhaya Hospital,17 Dr. M.H. Mari Gowda Road(Hosur Road)  Opp. Park Area Wilson Garden Bangalore - 560027,Karnataka,Bengaluru,080 - 26563865 / 26564586 / 26566767,abhayahospital@live.in,Yes
Abhijay Hospital,22/2 Esi Hospital Road  Peravallur (Perambur),Tamil Nadu,Chennai,044 - 49015050  / 9361575757,cashless@abhijayhospitals.com,Yes
Abhiman Kidney Centre,10e  D3 D3 Road  Balarengapuram  Opposite To Nadana Theatre  Madurai-625 009.,Tamil Nadu,Madurai,452-2323654,akcmdu9@gmail.com,No
Abhishek Nursing Home,Jagruti Co-Op. Soc.  Near Maratha Mandir Bank  Bhatwadi  Ghatkopar (W)  Mumbai - 400084,Maharashtra,Mumbai,022 - 25106518 / 25106577,avinash62@yahoo.com,Yes
Ace Heart And Vascular Institute,Sec 69   Mohali  Near Shivalik Hospital  Mohali,Punjab,Mohali,0172 - 5058888 / 5058899,aceheartinstitute@gmail.com,Yes
Ace Hospital,S No. 32/2a  Erandwane  Behind Mehendale Garage   Pune-411004,Maharashtra,Pune,020 - 5434063 / 5434072,acehospitalpune@gmail.com,No
Acharya Nursing Home,88/89  Shree Jay Ambe Co-Op Soc.  Opp. Gorwa Work Shop  Subhanpura,Gujarat,Vadodara,0265 - 2390378,dracharya.anh@gmail.com,No
Acharya Shri Chander College Of Medical Sciences And Hospitals,Nh-By Pass (P.O. Majeen) Sidhra  Jammu,Jammu Kashmir,Jammu,0191-2662114,ascoms.liaison@yahoo.in,No
Action Cancer Hospital,Fc-34  A-4  Paschim Vihar,Delhi,New Delhi,11-49222222,panel@actioncancerhospital.com,Yes
Adani Hospitals Mundra Pvt Ltd,Old Port Road  Nr Samindra Township  Mundra Sez,Gujarat,Mundra,2838-619555,corpdesk@adanihospitals.com,No
Adarsh Multi Speciality Hospital,No.1943  6th Cross  1st A Main  Kengeri Satellite Town  Bangalore,Karnataka,Bengaluru,080-28485101,adarshhospital12@yahoo.in,No
Adarsha Hospital,N H 17  Kundapura  Udupi Dist,Karnataka,Kundapura,08254 - 230580,adarsh72@sancharnet.in,No
Adarsha Multispeciality Hospital,Near Service Sus Stand  Udupi,Karnataka,Udupi,0820 - 2535289 / 2535290 / 2535291 / 2535292,claims.adarsha@gmail.com,No
Adarsha Nursing Home,Opp. M G Stadium  Tumkur - 572102,Karnataka,Tumkur,0816 - 2272579 / 2273566,anhtmk@gmail.com,No
Adayar P M Hospital And Research Centre Pvt Ltd,No. 58  Lattice Bridge Road  Adayar,Tamil Nadu,Chennai,044 - 24412000 / 24422001,adyarpmhospital@gmail.com,No
Add Hospital Pvt Ltd,Junus Patna College Square,Odisha,Cuttack,0671 - 2648730,addhospital@gmail.com,No
Adithya Hospital,Bogulkunta Tilak Road,Telangana,Hyderabad,040 - 39111333,cb@adityahospital.com,Yes
Aditi Hospital,Gandhi Square  Newpet  Anekal,Karnataka,Bangalore Rural,080 - 27830090,aditihospitalanekal@rediffmail.com,No
Aditya Birla Health Services Ltd,Survey No.31  Near Morya Mangal Karyalay   Thergaon  Pune,Maharashtra,Pune,020 - 30717500 / 30707500,abmh.tpa@adityabirla.com,Yes
Aditya Hospital,No. 7  Barnaby Road  Kilpauk,Tamil Nadu,Chennai,044 - 26411447 / 26411450,adityahospital@gmail.com,Yes
Aditya Hospital,Opp Bharat Petrol Pump  Shanti Nagar Uppal Hyderabad – 500039,Telangana,Hyderabad,40-33855555,info.uppal@adityahospital.com,Yes
Aditya Orthopaedic And Trauma Centre,Sree Shivakumara Swamy Circle  B.H.Road,Karnataka,Tumkur,0816 - 2260023,adityaortho@yahoo.com,No
Adityaj Hospital,Sco 18 F F Phase I   S A S Nagar,Punjab,Mohali,0172 - 3040278,adityaj@yahoo.co.in,No
ADR Hospital,H.No- 4-112/1  Anand Bagh  Malkajgiri,Telangana,Hyderabad,40-27246394,DRDIVAKER@YAHOO.CO.IN,Yes
Advance Mother And Child Care Center,67  Kalgidhar Enclave  Baltana  Zirakpur,Punjab,Zirakpur,1762-530954,advancemother.childcare@gmail.com,Yes
Agada Hospital,#8  Nair Road  T.Nagar,Tamil Nadu,Chennai,44-28152604/ 08,insurance@agadahealthcare.net,Yes
Agarwal Maternity And General Hospital,Sangharsh Chowk  Kharadi Road  Chandan Nagar  Pune - 411014,Maharashtra,Pune,020 - 27010704,cashless@amgh.org,No
Agrawal Hospital,E-3/15 Arera Colony Near Habib Ganj  Railway Crossing Bhopal,Madhya Pradesh,Bhopal,0755 - 4283383 / 4278190,info@agrawalhospital.com,No
Aimc Bassi Hospital,200  Tagore Nagar  Opp Postal Colony,Punjab,Ludhiana,0161 - 4633160 / 2303160 / 9814028889,aimcbassihospital@yahoo.co.in,Yes
Aims Ahmedabad Institute Of Medical Services,P N House  Opp. Jethabhai Park  Narayan Nagar Road  Paldi,Gujarat,Ahmedabad,79-32423242/32523252,aimscare11@gmail.com,Yes
Aishwariya Medical Foundation,No. 3  Iyyappa Nagar 200 Ft. Road Kolathur (Senthil Nagar Signal),Tamil Nadu,Chennai,44-26501434,amfinsurance@gmail.com,No
Ajanta Hospital And Ivf Centre Pvt Ltd,#765  Abc Complex  Kanpur Road  Alambagh,Uttar Pradesh,Lucknow,0522 - 2462335 / 2509681 / 2465107 / 4032888,tpa@ajantahospital.com,No
Akshaya Hospital,#11  Rishi Nagar ,Madhya Pradesh,Bhopal,4029300,AKSHAYAHOSPITALBPL@REDIFFMAIL.COM,No
Alam Hospital And Research Centre,Booty Road  Ranchi -  Bariatu 834009,Jharkhand,Ranchi,0651 - 2547233 / 09204792423,alam_hospital@rediffmail.com,No
Alatkar Hospital,Bhosale Garden  Opp  111 Bus Stop,Maharashtra,Pune,020 - 26815836,alatkarhospitalpune@gmail.com,No
Alchemist Hospital,Sector-21 Pachkula,Haryana,Panchkula,0172 - 4500000,corporate@alchemisthospitals.com,Yes
All Asia Medical Institute,8b Garcha 1st Lane,West Bengal,Kolkata,33-40012200,tpaaami@gmail.com,Yes
All Cure Hospital,Kesar Plaza  Caves Road  Station Road  Jogeshwari (E),Maharashtra,Mumbai,28393738,dr.kulkarni.hospital@gmail.com,Yes
Alok Hospital,B-1/121  A.P. Assi Varanasi,Uttar Pradesh,Varanasi,0542 - 2313187 / 9415226721 / 9935957990,alokhospital2016@gmail.com,No
Altius Maharaja Aggarsain Panipat,Near Devi Mandir,Haryana,Panipat,0180 - 2697018,cygnusmedicare@gmail.com,No
Amala Cancer Hospital And Research Centre,Amala Nagar  Thrissur,Kerala,Thrissur,0487 - 2304000,insurance@amalaims.org,No
Amala Nursing Home,Karbala More  Chinsurahvivekananda Road  Po+Dist -Hoogly  Hooghly,West Bengal,Hoogly,033 - 26802873,suvapran@amala.org.in,No
Amar Hospital,Sector - 70  Sas Nagar  Mohali,Punjab,Mohali,0172 - 5037683 / 5063943,amar_hosp@yahoo.com,Yes
Amar Leela Hospital Pvt Ltd,B-1/6  Janakpuri  New Delhi,Delhi,New Delhi,011 - 45663333 / 25537965 / 25537966 / 51570109,amarleela_hospital@yahoo.co.in,Yes
Amaravathi Hospital,New No 74  Ramanujam Nagar  Karur,Tamil Nadu,Karur,04324 - 231333 / 231222,amaravathihospital@gmail.com,No
Amaravathi Institute Of Medical Science,Old Club Road  Kothapet   Guntur Andhra Pradesh  Guntur,Andhra Pradesh,Guntur,0863 - 2256688,aimshospital2002@gmail.com,No
Ambay Hospital,No. 1  Lajpat Nagar  Sahibabad  Near St. Thomas School,Uttar Pradesh,Ghaziabad,9310408164,drtcsharmasgn@gmail.com,Yes
American Oncolgy Institute,At Citizens Hospital Nallagandla  Serilingam Pally,Telangana,Hyderabad,40-67199999,insurance@americanoncology.com,No
Amit Hospital,Canal Street  Gate Bazaar  Berhampur  Ganjam,Odisha,Berhampur,0680 - 22245535 / 2225480,amithospital2012@gmail.com,No
Amma Hospital,1  Sowrashtra Nagar  7 Th Street  Choolamedu.,Tamil Nadu,Chennai,044 - 23724243 / 24840441,sureshdrsuresh@yahoo.co.in,Yes
Amri Hospitals,Plot #1  Beside Satya Sai Enclave  Khandagiri,Odisha,Bhubaneswar,6666600,tpa.bhu@amrihospitals.in,No
Amri Hospitals,P4 & 5 C.I.T Scheme - Lxxi  Block - A  Gariahat Road  Kolkata - 700029,West Bengal,Kolkata,33-66260000,tpa.dhk@amrihospitals.in,Yes
Amri Hospitals,Jc 16 & Jc 17  Sector-3. Salt Lake,West Bengal,Kolkata,033 - 23357710,tpa.saltlake@amrihospitals.in,Yes
Amri Hospitals Ltd,230  Barakhola Lane  Jadavpurba  Mukundapur,West Bengal,Kolkata,66060606/1000,tpa.wch@amrihospitals.in,Yes
Amrit Hospital,310  Mint Street  Sowkarpet,Tamil Nadu,Chennai,044 - 25296786 / 25295135 / 25290867,amritmedicarepl@gmail.com,Yes
Amrita Institute Of Medical Sciences And Research Centre,Amrita Lane  Elamakara P.O  Ernakulam Dist  Kerala State,Kerala,Ernakulam-Cochin,0484-4004065 / 2801234,tpainsurance@aims.amrita.edu,No
Amrut Multispeciality Hospital,A/ 4 Bhagwati Park   Opp Tube Company   Nr Gajanan Complex   Old Padra Rd.,Gujarat,Vadodara,265-2357550,parikhdrshailesh@yahoo.com,No
Amrutha Nursing Home,Karimnagar  Besides Civil Hospital  Karimnagar,Telangana,Karimnagar,0878 - 2262029 / 2265396 /  2265279,amruthaivf@gmail.com,No
Anand General Hospital,1st Floor  Roop Rajat Nagar  Chitralaya Road,Maharashtra,Palghar,697173,anandhospital888@gmail.com,No
Anand Hospital,201  Kamarajar Salai  Manali  Chennai,Tamil Nadu,Chennai,044 - 25942702,anandhospitald@yahoo.com,Yes
Anand Hospital,Mahatma Phule Chowk  Chakan  Dist. Pune,Maharashtra,Chakan,02135 - 327100,anandhospitalchakan@gmail.com,Yes
Anand Maternity And Nursing Home,New Link Road  Near Dahisar Rail Subway  Dahisar (East)  Mumbai,Maharashtra,Mumbai,9152598251,anandhospitaldahisar@yahoo.com,Yes
Anand Nirogdham Hospital Pvt Ltd,A- 1  Damodar Colony Garh Road  Meerut,Uttar Pradesh,Meerut,0121 - 2792000 / 4016611 / 2666611,anandnirogdham@gmail.com,No
Anand Rishiji Hospital And Medical Research Centre,124  Anand Rishiji Marg  Ahmadnagar,Maharashtra,Ahmednagar,0241 - 2320423 / 4 / 5 / 6,arh.cashless@rediffmail.com,No
Anandalok Hospital,Dk- 7/3 Salt Lake Near Karunamoyee,West Bengal,Kolkata,033 - 23592931 / 34,anandlokhospitals@hotmail.com,Yes
Anandaloke Hospital And Neurosciences Centre,2nd Mile Sevoke Road  (Near Payel Cinema Hall)  P.O. Sevoke Road  Dist. Jalpaiguri  P.S. Bhatinagar  Siliguri,West Bengal,Siliguri,0353 - 2540980 / 2544352,corporate@anandaloke.com,No
Anandlok Hospital,7a  Nathmalpur  Gorakhnath,Uttar Pradesh,Gorakhpur,551-2255803/2256802,anandlokhospital@yahoo.co.in,No
Anant Shree Hospital Bhopal,40  A Sector  Indrapuri  Gate No.1  Raisen Raod  Bhel,Madhya Pradesh,Bhopal,0755 - 4262151 / 2601256,anantshree_hospital@yahoo.in,No
Anantha Ashram Hospital,Denkanikottai Road  Mathigiri,Tamil Nadu,Hosur,4344-262007,info@ananthashram.org,No
Ananthapuri Hospitals And Research Institute,T.C. 31/1424  Karali  Chacka  National Highway  Thiruvananthapuram - 695024,Kerala,Thiruvananthapuram,0471 - 2506767 / 2506868 / 2506969 / 2579900,ananthapurihri@gmail.com,No
Anasuya Instuite Of Medical Science,# 16/2/142  Pogathota  Hotel Venkat Ramana Lane,Andhra Pradesh,Nellore,0861 - 2326233,aims.nlr@gmail.com,No
Andhra Hospital,D-No 16-72/1  Opp High School Gollapudi,Andhra Pradesh,Vijayawada,866-2415757/2417577/2416127,ahbvpmpl@gmail.com,No
Andhra Hospitals (Vijayawada) Pvt.Ltd.,C.V.R Complex  Prakasam Road  Vijayawada  Prakasam Road,Andhra Pradesh,Vijayawada,0866 - 2575748 / 2574757 / 2576757 / 2571122 / 998,ANDHRAHOSPITALSINSURANCE@GMAIL.COM,No
Anjakha Hospital,No.23  Medavakkam Main Road  Madipakkam,Tamil Nadu,Chennai,044 - 22470405,anjakha@yahoo.co.in,Yes
Ankura Childrens Hospital,Plot N0.55 & 56  Jntu-Hitech City Road  7th Phase  Kphb Colony,Telangana,Hyderabad,40-30888844,info@ankurahospital.com,Yes
Annai Arul Hospital,270  Mudichur  Old Perungalathur,Tamil Nadu,Chennai,44-71700700,insurance@annaiarulhospital.com,No
Annamalai Hospital,No.27  Govindan Road  West Mambalam,Tamil Nadu,Chennai,044 - 23711061,DRTREAT@HOTMAIL.COM,No
Annapoorna Hospital,47-9-32  Dwarakanagar,Andhra Pradesh,Visakhapatnam,0891 - 6690789,annapoornahospitalvizag@gmail.com,No
Annapoorna Orthopaedic And Speciality Hospital,953 New Kantharaj Urs Road Lakshmipuram,Karnataka,Mysore,821-2330233,annapoornaorthopaedics@gmail.com,No
Ansari Hospital,Rz-20f/B  Street No.-6  Kailash Puri Road  Main Sagarpur Road,Delhi,New Delhi,28525194,ansarihospital04@gmail.com,No
Anupama Hospital,16-31/494&495  6th Phase Kphb Colony Kukatpally,Telangana,Hyderabad,040 - 23152525,anupamahospitalshyd@gmail.com,Yes
Anupama Surgical And Childrens Hospital,47-9-21  3rd Lane  Dwaraka Nagar,Andhra Pradesh,Visakhapatnam,0891 - 2748811 / 2747287,rrkodali@gmail.com,No
Anurag Hospital,8  Krishna Nagar  Sowripalayam  Coimbatore-641028,Tamil Nadu,Coimbatore,"422-6587871, 9244417871",anuraghospitalcoimbatore@gmail.com,No
Anwar Memorial Hospital,Santhosh Lane  Aluva,Kerala,Aluva,0484 - 2625204 / 3296731,sal_anwar@yahoo.com,No
Apex Hospital,Shiv Tirtha Apartment Parnaka Kalyan,Maharashtra,Thane,0251 - 3228752 /  6458209 / 8108070131 / 970254874,tpaapex@gmail.com,Yes
Apex Hospital,A-Wing  Vaishali Heights  Near Standard Chartered Bank  Chandravarkar Road  Borivali,Maharashtra,Mumbai,022 - 42457000,cashless@apexhospitals.in,Yes
Apex Hospital,D.L.W. Hydil Road,Uttar Pradesh,Varanasi,0542 - 2317414 / 2317526,apex.vns@gmail.com,No
Apex Hospital And Trauma Centre,Plot No. 5  Sector 6  (Near Nh 8 & Sbi)  Dharuhera  Rewari.,Haryana,Rewari,01274 - 243374,docrksingh@yahoo.co.in,No
Apex Hospitals Pvt Ltd,Sp-6  Malviya Industrial Area  Malviya Nagar  Jaipur-302017,Rajasthan,Jaipur,0141 - 4101111 / 2751871-73,apexhospital2008@gmail.com,Yes
Apex Inst Of Medical Sciences,12/9  Survey Park  Near Big Bazar  Hiland Park,West Bengal,Kolkata,033 - 2416-4555,apeximskolkatamediclaim@gmail.com,Yes
Apex Multispeciality And Laproscopy Hospital,3  C-79  Bp  Nit,Haryana,Faridabad,129-2422200,apexhospital3@gmail.com,Yes
Apollo Bgs Hospital,Sri Adichunchanagiri Road  Kuvempunagar  Mysore,Karnataka,Mysore,0821 -  2568888 / 2566666,prashanth_d@apollohospitals.com,No
Apollo Childrens Hospitals,15 Shafi Mohammed Road  Thousand Lights,Tamil Nadu,Chennai,044-28296262,achapproval@gmail.com,Yes
Apollo City Center,134 Mint Street  Sowcarpet,Tamil Nadu,Chennai,044-25296080/6082/6083,chd_sow@apollohospitals.com,Yes
Apollo Cradle,# 25  46th Cross  5th Block  Jayanagar,Karnataka,Bengaluru,080 - 42659997,insurance_ahjn@apollohospitals.com,Yes
Apollo Cradle,No. 58.5th Cross  18th Main Dhanlakshmi Bank Building 6th Block  Kormangla,Karnataka,Bengaluru,80-49397979,finance.kora@apollocradle.com,Yes
Apollo Dialysis,No. 10/29  Khader Nawaz Khan Road,Tamil Nadu,Chennai,044 - 28331605,knk@apollodialysisclinics.com,No
Apollo First Med Hospital,154  P. H Road,Tamil Nadu,Chennai,044 - 28211111 / 044-28366099,firstmedhospitals@gmail.com,Yes
Apollo Gleneagles Heart Centre,48/1f  Leela Roy Sarani  Kolkata,West Bengal,Kolkata,033 - 24618079,apollotpa1@gmail.com,Yes
Apollo Gleneagles Hospital,58  Canal Circular Road  (Opp. Saltlake Stadium)  Kolkata,West Bengal,Kolkata,033-23202122/5614,insurancekol_aghl@apollohospitals.com,Yes
Apollo Hospital,Old Mla Quarter Road  Hyderguda,Telangana,Hyderabad,040 - 23231380 / 23242827,HYDERGUDA.APOLLO@GMAIL.COM,Yes
Apollo Hospital,# 154/11  Opp. Iimb.  Bannergahtta Road  Bilekahalli,Karnataka,Bengaluru,080 - 26304345 / 26304364 / 40304050 / 65604341 /,insurance_bglr@apollohospitals.com,Yes
Apollo Hospital,Kanchanbagh (Drdo),Telangana,Hyderabad,040 - 24342222 / 243442211 / 24343333,billing_drdo@apollohospitals.com,No
Apollo Hospital,Tavanam Palle Mandir,Andhra Pradesh,Chittoor,"08573-283220, 283221, 283222",aaharagonda@yahoo.com,No
Apollo Hospitals,21  Greams Road  Off Greams Lane,Tamil Nadu,Chennai,044 - 28290200 / 2829333 / 28296225,apollo.approval@gmail.com,Yes
Apollo Hospitals,645 & 646  T H Road  Tondiarpet,Tamil Nadu,Chennai,044 - 25913333,chd_ton@apollohospitals.com,Yes
Apollo Hospitals,Waltair Main Road  Vishakapatnam,Andhra Pradesh,Vishakapatnam,0891 - 2727272,apvzfax@gmail.com,No
Apollo Hospitals,Jubliee Hills,Telangana,Hyderabad,040 - 23607777,,Yes
Apollo Hospitals,Next To Keys High School  St. John Road,Telangana,Hyderabad,040 - 27718888,apollosec@gmail.com,Yes
Apollo Hospitals,E-2  Sector - 26  Noida,Uttar Pradesh,Noida,0120 - 4012000 / 245353,kuldeep_S@apollohospitalsdelhi.com,Yes
Apollo Hospitals Bilaspur,Seepat Road  Opp Vasant Vihar,Chattisgarh,Bilaspur,7752-248300 / 248306,info@apollohospitalsbilaspur.com,No
Apollo Hospitals Enterprise Ltd,Plot No. 251  Sainik School Road  Unit-15,Odisha,Bhubaneswar,674-6660401/6661016,tpa_bbs@apollohospitals.com,No
Apollo Hospitals International Ltd,Plot No 1a  Bhat Gidc Estate  Near Indira Bridge  Gandhinagar,Gujarat,Gandhi Nagar,079 - 55701800 / 01 / 03 / 66701820,tpa@apolloahd.com,Yes
"Apollo Hospitals, Guwahati.",Lotus Tower  G.S. Road  Guwahati - 781005,Assam,Guwahati,0361 - 7135100/1/5 / 2347700-07,tpadesk@internationalhosp.com,No
Apollo Kh Hospital,Ranipet-Vellore Byepass Road  Melvisharam,Tamil Nadu,Vellore,04172 - 269581 / 85,insurance@apollokh.com,No
Apollo Loga Hospital,163  A-E  Allwyn Nagar  Covai Road  Karur,Tamil Nadu,Karur,04324 - 241900 / 240900 / 3488555,corporatehelpdesk_karur@apollohospitals.com,No
Apollo Reach Hospitals,Madurai Main Road Managiri Karaikudi Sivaganga,Tamil Nadu,Karaikudi,04565 - 223700,creditkkdi@gmail.com,No
Apollo Samudra Hospitals,Main Road Kakinada  Esat Godavari,Andhra Pradesh,Kakinada,0884 - 2345800 / 5593333 / 2345700 / 9866885444,creditcell_kkd@apollohospitals.com,No
Apollo Speciality Hospital,No.21/2 (2) 14th Cross 3rd Block  Jayanagar,Karnataka,Bengaluru,80-30804444,insurance_ahjn@apollohospitals.com,Yes
Apollo Speciality Hospital,Chennai By Pass Road Near Old Paal Pannai Ariyanang Alam,Tamil Nadu,Trichy,0431-3307009,creditcell_trichy@apollohospitals.com,No
Apollo Speciality Hospital,#64  Off Ph Road  Vanagaram To Ambattur Main Road  Ayanambakkam  Near Srivaru Kalyana Mandabam,Tamil Nadu,Chennai,044-26537005,approval.aybkm@gmail.com,Yes
Apollo Speciality Hospital,Lake View Road  K K Nagar,Tamil Nadu,Madurai,0452 - 2580892 / 2580894,creditadmission@gmail.com,No
Apollo Speciality Hospitals,320  Anna Salai  Nandanam,Tamil Nadu,Chennai,044 - 33151345,apollospeciality@gmail.com,Yes
Apollo Trauma Centre,G-124  P.C.Colony  Kankarbagh,Bihar,Patna,0612 - 2360526,rajatc69@gmail.com,No
Apolo Hospital,2509/3  Bhushan Pura  I/S Sultanwind Gate,Punjab,Amritsar,0183 - 2545599 / 2554280,apolohospitalamritsar@gmail.com,Yes
Apoorva Health Services,D.No-50-17-62  Rajendernagar  Near Seethamapeta Jn  Rajendranagar,Andhra Pradesh,Visakhapatnam,0891 - 2701258 / 2747436,apoorvahospitals@gmail.com,No
Apoorva Hospital,46/A  Santosh Nagar,Telangana,Hyderabad,040 - 65503232 / 9290402878 / 9652825553,apoorvahospital@gmail.com,Yes
Appasamy Medicare Centre Pvt Ltd,# 23  Friends Avenue   Arumbakkam,Tamil Nadu,Chennai,044 - 30595939,appasamyinsurance@gmail.com,Yes
Apurva Mother And Child Hospital,B.B.Road  Yelahanka Old Town,Karnataka,Bengaluru,80-28460097,apurvahospital22@gmail.com,No
Aravali Hospitals Pvt Ltd,332  Amba Mata Scheme  Udaipur,Rajasthan,Udaipur,0294 - 2430222 / 2431222,aravalihospital@yahoo.com,No
Aravind Medical Centre,Thattassery,Kerala,Kollam,476-2680477,amchavara@gmail.com,No
Aristo Speciality Hospital,50-B  Bye-Pass Road  Opp To Aparna Towers  Madurai,Tamil Nadu,Madurai,452-4200788,aristohospital@gmail.com,No
Arogya Maternity And Nursing Home,No 71  Toolygunge Circular Road  (New Alipore Sital Sadan Compound),West Bengal,Kolkata,24000681,arogya.1180@yahoo.com,Yes
Arogya Niketan Pvt Ltd,# 105  R S Verma Road  Uttarpara,West Bengal,Hooghly,033 - 26644795,anpl.1991@gmail.com,No
Arogya Seva Hospitals Pvt Ltd,No. 35 Shanthi Nagar Opp. Csi Church  Denkanni Kottai Road,Tamil Nadu,Hosur,4344-225555/ 224555,brashokhospital@gmail.com,No
Arogyalayam,Bridge Road Alwaye,Kerala,Aluva,0484 - 2625252 / 2623084 / 2625226,arogyalayamhospital@yahoo.com,No
Arogyam Super Speciality Hospital,34-Sita Nagar  Samalwada Wardha Road,Maharashtra,Nagpur,712-2294342,arogyamnagpur@gmail.com,No
Arpan Hospital Research Centre,151/2 Imbli Bazar  Near Rajwada  Indore,Madhya Pradesh,Indore,0731 - 2433900 / 2433911 / 2530200 / 2549314,arpannh@yahoo.com,No
Artemis Health Institute,Sector-51  Orchid Island,Haryana,Gurgaon,0124 - 6767999,artemis.tpa@gmail.com,Yes
Arul Hospital,No:6 Thiruvika Nagar  Vannarapettai Corner,Tamil Nadu,Trichy,0431 - 2773857 / 6540104,arulhospital@gmail.com,No
Arun Kidney Centre,29-23-9  Tadapalliwari Street  Suryaraopeta  Vijaywada  Vijayawada,Andhra Pradesh,Vijayawada,0866 - 2435664,arunkidneycentre@gmail.com,No
Aruna Hospital,Dr.Radhakrishan Road  S S Puram,Karnataka,Tumkur,0816 - 2276408 / 2270329 / 2255934,arunatumkur1@gmail.com,No
Aruna Hospital,Road No 4 Chandrapuri Colony Opp Vijay Laxmi Theatre L B Nagar,Telangana,Hyderabad,40-24027894,arunahospital.hyd@gmail.com,Yes
Arunodaya Clinic,Plot No 86  Sector-10  Opp Garden  New Panvel-410206  Opp Garden Sector  New Panvel,Maharashtra,Mumbai,022 - 27465743 / 27482873,arunodayaclinic02@gmail.com,No
Arunodaya Hospital,Srinagar Colony  Havambavi  Siruguppa Road,Karnataka,Bellary,08392-266555 / 9008841333 / 8088341333,proadh@rediffmail.com,No
Arunodaya Hospitals,18  23  Mallasandra Main Road  4th & 5th Cross  Bagalagunte Hesaraghatta Road,Karnataka,Bengaluru,080 - 28395214 / 28395215,arunodayahospitals@gmail.com,Yes
Arvinth Hospital,17  Rangar Sannathi Street  Sendamangalam Road,Tamil Nadu,Namakkal,04286 - 231333 - 232333,arvinth_hospital@yahoo.com,No
Arya Hospital,A.M.Road  Rehabari,Assam,Guwahati,0361 - 2606888,aryahospital2004@gmail.com,No
